1,"121.53457944086242,25.02033129176501"
2,"121.53488569038514,25.020449839967352"
3,"121.53527097204275,25.020276957172275"
4,"121.53531542761863,25.019130991216294"
5,"121.53492026694414,25.0189235318622"
6,"121.5345102877444,25.019130991216294"
7,"121.53449052971067,25.020321412748157"
8,"121.53299385865651,25.02049429554326"
9,"121.53296916111437,25.02011889290251"
10,"121.53388790968255,25.020015163225462"
11,"121.53374466393801,25.019570607466676"
12,"121.53315192292632,25.019615063042558"
13,"121.53321613653591,25.020094195360358"
14,"121.53296916111437,25.02011889290251"
15,"121.53288518947105,25.019649639601578"
16,"121.53176886056568,25.019743490261757"
17,"121.53172440498977,25.01935326909571"
18,"121.5320158359872,25.019338450570423"
19,"121.53204053352934,25.01973361124489"
20,"121.53178367909094,25.01975336927862"
21,"121.53165831507631,25.018929183360626"
22,"121.53362698820665,25.018716603633003"
23,"121.53321569264658,25.017029829706814"
24,"121.53159835819685,25.015902651100358"
25,"121.5320736986182,25.015417609854076"
26,"121.53426608505136,25.017251065765016"
27,"121.53918588432165,25.017318321421804"
28,"121.53943542025235,25.017060987493274"
29,"121.5398818556287,25.01707073499059"
30,"121.54147434095118,25.015025031333217"
31,"121.542518370951,25.015864895466247"
32,"121.54158106401792,25.017075970265793"
33,"121.54153234261803,25.018484250731987"
34,"121.5424999441178,25.018523282189584"
35,"121.54251299747358,25.01906499645479"
36,"121.54130556206312,25.019084576488492"
37,"121.54125987531785,25.018516755511698"
38,"121.53445255027455,25.01833400853066"
39,"121.5345102877444,25.019130991216294"
